DateTime (approx) Local,24HrSnow_in,24HrWater_in
11/14/22 7:00,0,0
11/15/22 7:00,0,0
11/16/22 7:00,0,0
11/17/22 7:00,0,0
11/18/22 7:00,0,0
11/19/22 7:00,0,0
11/20/22 7:00,0,0
11/21/22 7:00,0,0
11/22/22 7:00,0,0
11/23/22 7:00,0,0
11/24/22 7:00,0,0
11/25/22 7:00,0,0
11/26/22 7:00,0,0
11/27/22 7:00,0,0
11/28/22 7:00,0,0
11/29/22 7:00,0,0
11/30/22 7:00,0,0
12/1/22 7:00,6.5,0.6
12/2/22 7:00,5,0.36
12/3/22 7:00,0,0
12/4/22 7:00,0,0
12/5/22 7:00,5,0.48
12/6/22 7:00,0,0
12/7/22 7:00,0,0
12/8/22 7:00,0,0
12/9/22 7:00,3.9,0.26
12/10/22 7:00,0,0
12/11/22 7:00,10.9,0.91
12/12/22 7:00,7.7,0.64
12/13/22 7:00,0,0
12/14/22 7:00,0,0
12/15/22 7:00,0,0
12/16/22 7:00,0,0
12/17/22 7:00,0,0
12/18/22 7:00,0,0
12/19/22 7:00,0,0
12/20/22 7:00,0,0
12/21/22 7:00,0,0
12/22/22 7:00,0,0
12/23/22 7:00,0,0
12/24/22 7:00,0,0
12/25/22 7:00,0,0
12/26/22 7:00,0,0
12/27/22 7:00,0,0
12/28/22 7:00,0,0
12/29/22 7:00,0,0
12/30/22 7:00,0,0
12/31/22 7:00,3.5,0.34
1/1/23 7:00,0,0
1/2/23 7:00,0,0
1/3/23 7:00,0,0
1/4/23 7:00,0,0
1/5/23 7:00,0,0
1/6/23 7:00,5,0.37
1/7/23 7:00,0,0
1/8/23 7:00,0,0
1/9/23 7:00,2.5,0.21
1/10/23 7:00,5,0.55
1/11/23 7:00,3.7,0.28
1/12/23 7:00,0,0
1/13/23 7:00,0,0
1/14/23 7:00,0,0
1/15/23 7:00,2.2,0.21
1/16/23 7:00,0,0
1/17/23 7:00,0,0
1/18/23 7:00,0,0
1/19/23 7:00,0,0
1/20/23 7:00,0,0
1/21/23 7:00,0,0
1/22/23 7:00,0,0
1/23/23 7:00,0,0
1/24/23 7:00,0,0
1/25/23 7:00,0,0
1/26/23 7:00,0,0
1/27/23 7:00,0,0
1/28/23 7:00,0,0
1/29/23 7:00,0,0
1/30/23 7:00,0,0
1/31/23 7:00,0,0
2/1/23 7:00,0,0
2/2/23 7:00,0,0
2/3/23 7:00,0,0
2/4/23 7:00,0,0
2/5/23 7:00,0,0
2/6/23 7:00,0,0
2/7/23 7:00,0,0
2/8/23 7:00,0,0
2/9/23 7:00,0,0
2/10/23 7:00,0,0
2/11/23 7:00,0,0
2/12/23 7:00,0,0
2/13/23 7:00,0,0
2/14/23 7:00,0,0
2/15/23 7:00,0,0
2/16/23 7:00,0,0
2/17/23 7:00,0,0
2/18/23 7:00,0,0
2/19/23 7:00,0,0
2/20/23 7:00,0,0
2/21/23 7:00,0,0
2/22/23 7:00,0,0
2/23/23 7:00,0,0
2/24/23 7:00,3.7,0.18
2/25/23 7:00,0,0
2/26/23 7:00,0,0
2/27/23 7:00,0,0
2/28/23 7:00,3.2,0.27
3/1/23 7:00,8,0.39
3/2/23 7:00,0,0
3/3/23 7:00,0,0
3/5/23 7:00,7,0.56
3/6/23 7:00,0,0
3/7/23 7:00,0,0
3/8/23 7:00,0,0
3/9/23 7:00,0,0
3/10/23 7:00,10,0.98
3/11/23 7:00,0,0
3/12/23 7:00,0,0
3/13/23 7:00,0,0
3/14/23 7:00,0,0
3/15/23 7:00,2.5,0.53
3/16/23 7:00,0,0
3/17/23 7:00,0,0
3/18/23 7:00,0,0
3/19/23 7:00,0,0
3/20/23 7:00,2.5,0.25
3/21/23 7:00,0,0
3/22/23 7:00,0,0
3/23/23 7:00,0,0
3/24/23 7:00,0,0
3/25/23 7:00,0,0
3/26/23 7:00,0,0
3/27/23 7:00,0,0
3/28/23 7:00,0,0
3/29/23 7:00,0,0
3/30/23 7:00,2.7,0.34
3/31/23 7:00,0,0
4/1/23 7:00,0,0
4/2/23 7:00,0,0
4/3/23 7:00,2.5,0.12
4/4/23 7:00,0,0
4/5/23 7:00,0,0
4/6/23 7:00,0,0
4/7/23 7:00,0,0
4/8/23 7:00,0,0
4/9/23 7:00,0,0
4/10/23 7:00,0,0
4/11/23 7:00,0,0
4/12/23 7:00,0,0
4/13/23 7:00,0,0
4/14/23 7:00,0,0
4/15/23 7:00,0,0
4/16/23 7:00,0,0
4/17/23 7:00,0,0
4/18/23 7:00,0,0
4/19/23 7:00,0,0
4/20/23 7:00,0,0
4/21/23 7:00,0,0
4/22/23 7:00,0,0
4/23/23 7:00,0,0
4/24/23 7:00,0,0
4/25/23 7:00,0,0
4/26/23 7:00,0,0
4/27/23 7:00,0,0
4/28/23 7:00,0,0
4/29/23 7:00,0,0
4/30/23 7:00,0,0
11/1/23 7:00,0,0
11/2/23 7:00,0,0
11/3/23 7:00,0,0
11/4/23 7:00,0,0
11/5/23 7:00,0,0
11/6/23 7:00,0,0
11/7/23 7:00,0,0
11/8/23 7:00,0,0
11/9/23 7:00,0,0
11/10/23 7:00,0,0
11/11/23 7:00,0,0
11/12/23 7:00,0,0
11/13/23 7:00,0,0
11/14/23 7:00,0,0
11/15/23 7:00,0,0
11/16/23 7:00,0,0
11/17/23 7:00,0,0
11/18/23 7:00,0,0
11/26/23 7:00,0,0
11/27/23 7:00,0,0
11/28/23 7:00,0,0
11/29/23 7:00,0,0
12/1/23 7:00,0,0
12/2/23 7:00,0,0
12/3/23 7:00,3.5,0.28
12/4/23 7:00,0,0
12/5/23 7:00,0,0
12/6/23 7:00,0,0
12/7/23 7:00,0,0
12/8/23 7:00,0,0
12/9/23 7:00,0,0
12/10/23 7:00,0,0
12/11/23 7:00,0,0
12/12/23 7:00,0,0
12/13/23 7:00,0,0
12/14/23 7:00,0,0
12/15/23 7:00,0,0
12/16/23 7:00,0,0
12/17/23 7:00,0,0
12/18/23 7:00,0,0
12/19/23 7:00,0,0
12/20/23 7:00,0,0
12/23/23 7:00,0,0
12/27/23 7:00,0,0
12/28/23 7:00,0,0
12/29/23 7:00,0,0
12/30/23 7:00,0,0
12/31/23 7:00,0,0
1/1/24 7:00,0,0
1/2/24 7:00,0,0
1/3/24 7:00,0,0
1/4/24 7:00,0,0
1/5/24 7:00,0,0
1/6/24 7:00,0,0
1/7/24 7:00,2.2,0.11
1/8/24 7:00,0,0
1/9/24 7:00,0,0
1/10/24 7:00,5,0.3
1/11/24 7:00,2.2,0.17
1/17/24 7:00,0,0
1/18/24 7:00,0,0
1/19/24 7:00,0,0
1/20/24 7:00,0,0
1/21/24 7:00,0,0
1/22/24 7:00,0,0
1/23/24 7:00,0,0
1/24/24 7:00,0,0
1/25/24 7:00,0,0
1/29/24 7:00,0,0
1/30/24 7:00,0,0
1/31/24 7:00,0,0
2/1/24 7:00,0,0
2/2/24 7:00,0,0
2/3/24 7:00,0,0
2/4/24 7:00,0,0
2/5/24 7:00,4.5,0.5
2/6/24 7:00,2.2,0.45
2/7/24 7:00,4,0.62
2/15/24 7:00,6.2,0.54
2/16/24 7:00,0,0
2/17/24 7:00,0,0
2/18/24 7:00,0,0
2/19/24 7:00,0,0
2/20/24 7:00,0,0
2/21/24 7:00,0,0
2/22/24 7:00,0,0
2/23/24 7:00,0,0
2/24/24 7:00,0,0
2/29/24 7:00,0,0
3/1/24 7:00,0,0
3/2/24 7:00,5,0.48
3/3/24 7:00,0,0
3/12/24 7:00,0,0
3/19/24 7:00,0,0
3/20/24 7:00,0,0
3/21/24 7:00,0,0
3/22/24 7:00,0,0
3/30/24 7:00,0,0
3/31/24 7:00,0,0
4/1/24 7:00,0,0
4/2/24 7:00,0,0
4/3/24 7:00,0,0
4/4/24 7:00,0,0
4/5/24 7:00,0,0
4/6/24 7:00,2,0.27
4/7/24 6:50,0,0
4/14/24 7:00,0,0
4/15/24 7:00,0,0
4/16/24 7:00,0,0
4/17/24 7:00,0,0
4/18/24 7:00,0,0
4/19/24 7:00,0,0
4/20/24 7:00,0,0
4/21/24 7:00,0,0
4/22/24 7:00,0,0
4/23/24 7:00,0,0
4/24/24 7:00,0,0
4/25/24 7:00,0,0
4/26/24 7:00,0,0
4/27/24 7:00,0,0
4/28/24 7:00,0,0
