DateTime Local,12HrSnow_mm,12HrWater_mm
12/30/04 4:00,177.8,29.464
12/30/04 16:00,76.2,6.604
12/31/04 4:00,50.8,3.302
12/31/04 16:00,50.8,5.334
1/1/05 4:00,381,28.702
1/1/05 16:00,50.8,4.064
1/2/05 4:00,12.7,0.762
1/2/05 16:00,12.7,0.762
1/3/05 4:00,38.1,1.778
1/3/05 16:00,38.1,2.54
1/4/05 4:00,63.5,4.318
1/4/05 16:00,25.4,2.032
1/5/05 4:00,101.6,7.62
1/5/05 16:00,203.2,9.144
1/6/05 4:00,152.4,3.048
1/6/05 16:00,215.9,5.842
1/7/05 4:00,38.1,1.27
1/7/05 16:00,25.4,2.54
1/8/05 4:00,101.6,6.858
1/8/05 16:00,101.6,17.78
1/9/05 4:00,76.2,16.51
1/9/05 16:00,139.7,22.606
1/10/05 4:00,127,28.956
1/10/05 16:00,279.4,37.338
1/11/05 4:00,177.8,26.416
1/11/05 16:00,190.5,30.988
1/12/05 4:00,101.6,7.62
1/12/05 16:00,0,0
1/13/05 4:00,0,0
1/13/05 16:00,0,0
1/14/05 4:00,0,0
1/14/05 16:00,0,0
1/15/05 4:00,0,0
1/15/05 16:00,0,0
1/16/05 4:00,0,0
1/16/05 16:00,0,0
1/17/05 4:00,0,0
1/17/05 16:00,12.7,1.016
1/18/05 4:00,0,0
1/18/05 16:00,0,0
1/19/05 4:00,0,0
1/19/05 16:00,0,0
1/20/05 4:00,0,0
1/20/05 16:00,0,0
1/21/05 4:00,0,0
1/21/05 16:00,0,0
1/22/05 4:00,0,0
1/22/05 16:00,0,0
1/23/05 4:00,0,0
1/23/05 16:00,0,0
1/24/05 4:00,0,0
1/24/05 16:00,0,0
1/25/05 4:00,0,0
1/25/05 16:00,0,0
1/26/05 4:00,0,0
1/26/05 16:00,0,0
1/27/05 4:00,101.6,12.7
1/27/05 16:00,12.7,1.27
1/28/05 4:00,12.7,1.27
1/28/05 16:00,0,0
1/29/05 4:00,0,0.508
1/29/05 16:00,63.5,5.588
1/30/05 4:00,0,0
1/30/05 16:00,25.4,2.032
1/31/05 4:00,25.4,2.032
1/31/05 16:00,0,0
2/1/05 4:00,0,0
2/1/05 16:00,0,0
2/2/05 4:00,0,0
2/2/05 16:00,0,0
2/3/05 4:00,0,0
2/3/05 16:00,0,0
2/4/05 4:00,0,0
2/4/05 16:00,0,0
2/5/05 4:00,0,0
2/5/05 16:00,0,0
2/6/05 4:00,0,0
2/6/05 16:00,0,0
2/7/05 4:00,381,19.812
2/7/05 16:00,127,7.62
2/8/05 4:00,127,5.08
2/8/05 16:00,0,0
2/9/05 4:00,0,0
2/9/05 16:00,0,0
2/10/05 4:00,0,0
2/10/05 16:00,0,0
2/11/05 4:00,0,0
2/11/05 16:00,0,0.508
2/12/05 4:00,63.5,8.128
2/12/05 16:00,63.5,8.382
2/13/05 4:00,25.4,3.556
2/13/05 16:00,0,0
2/14/05 4:00,12.7,1.778
2/14/05 16:00,63.5,7.366
2/15/05 4:00,304.8,26.67
2/15/05 16:00,177.8,5.588
2/16/05 4:00,0,0
2/16/05 16:00,88.9,5.08
2/17/05 4:00,0,0
2/17/05 16:00,0,0
2/18/05 4:00,0,0
2/18/05 16:00,12.7,1.016
2/19/05 4:00,50.8,6.604
2/19/05 16:00,76.2,9.144
2/20/05 4:00,50.8,4.572
2/20/05 16:00,381,27.432
2/21/05 4:00,12.7,1.016
2/21/05 16:00,0,0
2/22/05 4:00,0,0
2/22/05 16:00,0,0.254
2/23/05 4:00,0,0.254
2/23/05 16:00,0,0
2/24/05 4:00,0,0
2/24/05 16:00,0,0
2/25/05 4:00,0,0
2/25/05 16:00,0,0
2/26/05 4:00,0,0
2/26/05 16:00,0,0
2/27/05 4:00,0,0
2/27/05 16:00,0,0
2/28/05 4:00,0,0
2/28/05 16:00,0,0.254
3/1/05 4:00,63.5,5.588
3/1/05 16:00,0,0.762
3/2/05 4:00,0,0
3/2/05 16:00,0,0
3/3/05 4:00,0,0
3/3/05 16:00,0,0
3/4/05 4:00,0,0
3/4/05 16:00,0,0
3/5/05 4:00,0,0
3/5/05 16:00,0,0
3/6/05 4:00,0,0
3/6/05 16:00,0,0
3/7/05 4:00,0,0
3/7/05 16:00,0,0
3/8/05 4:00,0,0
3/8/05 16:00,0,0
3/9/05 4:00,0,0
3/9/05 16:00,0,0
3/10/05 4:00,0,0
3/10/05 16:00,0,0
3/11/05 4:00,0,0
3/11/05 16:00,0,0
3/12/05 4:00,0,0
3/12/05 16:00,0,0
3/13/05 4:00,0,0
3/13/05 16:00,0,0
3/14/05 4:00,12.7,0.508
3/14/05 16:00,12.7,0.508
3/15/05 4:00,0,0
3/15/05 16:00,0,0
3/16/05 4:00,25.4,0.762
3/16/05 16:00,0,0
3/17/05 4:00,0,0
3/17/05 16:00,114.3,5.08
3/18/05 4:00,127,7.874
3/18/05 16:00,0,0
3/19/05 4:00,0,0
3/19/05 16:00,0,0
3/20/05 4:00,127,9.398
3/20/05 16:00,520.7,38.608
3/21/05 4:00,127,9.144
3/21/05 16:00,152.4,14.986
3/22/05 4:00,0,0
3/22/05 16:00,25.4,2.032
3/23/05 4:00,177.8,22.606
3/23/05 16:00,254,28.448
3/24/05 4:00,254,22.098
3/24/05 16:00,139.7,12.954
3/25/05 4:00,0,0.508
3/25/05 16:00,292.1,13.208
3/26/05 4:00,127,6.35
3/26/05 16:00,0,0
3/27/05 4:00,0,0
3/27/05 16:00,0,0
3/28/05 4:00,0,0
3/28/05 16:00,266.7,27.178
3/29/05 4:00,203.2,18.034
3/29/05 16:00,127,8.128
3/30/05 4:00,304.8,20.32
3/30/05 16:00,647.7,35.56
3/31/05 4:00,152.4,8.89
3/31/05 16:00,0,0
4/1/05 4:00,0,0
4/1/05 16:00,0,0
4/2/05 4:00,0,0
4/2/05 16:00,0,0
4/3/05 4:00,0,0
4/3/05 16:00,0,0
4/4/05 4:00,0,0
4/4/05 16:00,177.8,11.43
4/5/05 4:00,203.2,19.05
4/5/05 16:00,0,0
4/6/05 4:00,0,0
4/6/05 16:00,0,0
4/7/05 4:00,0,0
4/7/05 16:00,0,0
4/8/05 4:00,0,0
4/8/05 16:00,228.6,15.494
4/9/05 4:00,25.4,1.778
4/9/05 16:00,25.4,2.54
4/10/05 4:00,12.7,1.016
4/10/05 16:00,25.4,1.778
4/11/05 4:00,38.1,2.032
4/11/05 16:00,0,0
4/12/05 4:00,0,0
4/12/05 16:00,0,0
4/13/05 4:00,0,0
4/13/05 16:00,0,0
4/14/05 4:00,0,0
4/14/05 16:00,0,0
4/15/05 4:00,0,0
4/15/05 16:00,0,0
4/16/05 4:00,0,0
4/16/05 16:00,0,0
4/17/05 4:00,0,0
4/17/05 16:00,0,0
4/18/05 4:00,0,0
4/18/05 16:00,0,0
4/19/05 4:00,38.1,2.54
4/19/05 16:00,25.4,2.54
4/20/05 4:00,228.6,15.748
4/20/05 16:00,254,16.256
4/21/05 4:00,50.8,3.556
4/21/05 16:00,12.7,1.27
4/22/05 4:00,0,0
4/22/05 16:00,0,0
4/23/05 4:00,0,0
4/23/05 16:00,0,0
4/24/05 4:00,50.8,6.35
4/24/05 16:00,114.3,14.986
4/25/05 4:00,12.7,1.27
4/25/05 16:00,25.4,2.794
4/26/05 4:00,0,0
4/26/05 16:00,0,0
4/27/05 4:00,0,0
4/27/05 16:00,38.1,4.572
4/28/05 4:00,127,14.986
4/28/05 16:00,0,0.508
4/29/05 4:00,152.4,17.78
4/29/05 16:00,12.7,2.286
4/30/05 4:00,0,0
4/30/05 16:00,63.5,7.112
10/28/05 4:00,127,19.304
10/28/05 16:00,38.1,6.35
10/29/05 4:00,25.4,4.572
10/29/05 16:00,50.8,7.366
10/30/05 4:00,0,0
10/30/05 16:00,25.4,3.81
10/31/05 4:00,0,0
10/31/05 16:00,0,0
11/1/05 4:00,0,0
11/1/05 16:00,0,0
11/2/05 4:00,0,0
11/2/05 16:00,0,0
11/3/05 4:00,0,0
11/3/05 16:00,0,0
11/4/05 4:00,0,0
11/4/05 16:00,152.4,15.748
11/5/05 4:00,63.5,9.906
11/5/05 16:00,0,0
11/6/05 4:00,0,0
11/6/05 16:00,0,0
11/7/05 4:00,0,0
11/7/05 16:00,0,0
11/8/05 4:00,0,0
11/8/05 16:00,0,1.524
11/9/05 4:00,0,0
11/9/05 16:00,0,0
11/10/05 4:00,0,0
11/10/05 16:00,0,0
11/11/05 4:00,0,0
11/11/05 16:00,0,0
11/12/05 4:00,50.8,9.398
11/12/05 16:00,50.8,8.128
11/13/05 4:00,0,0
11/13/05 16:00,25.4,4.826
11/14/05 4:00,139.7,18.288
11/14/05 16:00,152.4,31.75
11/15/05 4:00,12.7,1.524
11/15/05 16:00,0,0
11/16/05 4:00,0,0
11/16/05 16:00,0,0
11/17/05 4:00,0,0
11/17/05 16:00,0,0
11/18/05 4:00,0,0
11/18/05 16:00,0,0
11/19/05 4:00,0,0
11/19/05 16:00,0,0
11/20/05 4:00,0,0
11/20/05 16:00,0,0
11/21/05 4:00,0,0
11/21/05 16:00,0,0
11/22/05 4:00,0,0
11/22/05 16:00,0,0
11/23/05 4:00,0,0
11/23/05 16:00,0,0
11/24/05 4:00,0,0
11/24/05 16:00,0,0
11/25/05 4:00,0,0
11/25/05 16:00,0,0
11/26/05 4:00,50.8,5.08
11/26/05 16:00,393.7,32.258
11/27/05 4:00,165.1,8.89
11/27/05 16:00,76.2,4.826
11/28/05 4:00,50.8,2.54
11/28/05 16:00,0,0
11/29/05 4:00,0,0
11/29/05 16:00,63.5,7.62
11/30/05 4:00,152.4,19.558
11/30/05 16:00,25.4,1.524
12/1/05 4:00,25.4,2.286
12/1/05 16:00,0,0
12/2/05 4:00,76.2,8.89
12/2/05 16:00,152.4,20.32
12/3/05 4:00,25.4,1.016
12/3/05 16:00,228.6,12.192
12/4/05 4:00,215.9,16.764
12/4/05 16:00,139.7,11.938
12/5/05 4:00,0,0
12/5/05 16:00,0,0
12/6/05 4:00,0,0
12/6/05 16:00,444.5,22.606
12/7/05 4:00,152.4,8.89
12/7/05 16:00,0,0
12/8/05 4:00,0,0
12/8/05 16:00,0,0
12/9/05 4:00,0,0
12/9/05 16:00,0,0
12/10/05 4:00,0,0
12/10/05 16:00,0,0
12/11/05 4:00,0,0
12/11/05 16:00,0,0
12/12/05 4:00,0,0
12/12/05 16:00,0,0
12/13/05 4:00,0,0
12/13/05 16:00,12.7,1.016
12/14/05 4:00,38.1,1.27
12/14/05 16:00,0,0
12/15/05 4:00,0,0
12/15/05 16:00,0,0
12/16/05 4:00,0,0
12/16/05 16:00,0,0
12/17/05 4:00,0,0
12/17/05 16:00,50.8,2.286
12/18/05 4:00,50.8,1.524
12/18/05 16:00,203.2,5.842
12/19/05 4:00,165.1,15.748
12/19/05 16:00,101.6,10.922
12/20/05 4:00,101.6,17.018
12/20/05 16:00,25.4,2.54
12/21/05 4:00,0,0
12/21/05 16:00,0,0
12/22/05 4:00,0,0
12/22/05 16:00,0,0.508
12/23/05 4:00,165.1,29.718
12/23/05 16:00,0,0
12/24/05 4:00,0,0
12/24/05 16:00,0,0
12/25/05 4:00,0,0
12/25/05 16:00,0,0
12/26/05 4:00,0,0
12/26/05 16:00,114.3,8.89
12/27/05 4:00,215.9,23.622
12/27/05 16:00,0,0
12/28/05 4:00,12.7,2.54
12/28/05 16:00,0,0
12/29/05 4:00,76.2,13.462
12/29/05 16:00,165.1,14.986
12/30/05 4:00,0,0
12/30/05 16:00,165.1,17.78
12/31/05 4:00,76.2,9.906
12/31/05 16:00,114.3,14.986
1/1/06 4:00,304.8,39.116
1/1/06 16:00,50.8,5.842
1/2/06 4:00,12.7,1.778
1/2/06 16:00,215.9,29.464
1/3/06 4:00,203.2,30.48
1/3/06 16:00,88.9,12.954
1/4/06 4:00,0,0
1/4/06 16:00,88.9,9.144
1/5/06 4:00,0,0
1/5/06 16:00,0,0
1/6/06 4:00,0,0
1/6/06 16:00,0,0
1/7/06 4:00,0,0
1/7/06 16:00,0,0
1/8/06 4:00,50.8,5.842
1/8/06 16:00,127,8.89
1/9/06 4:00,101.6,4.572
1/9/06 16:00,0,0
1/10/06 4:00,0,0
1/10/06 16:00,0,0
1/11/06 4:00,0,0
1/11/06 16:00,25.4,2.032
1/12/06 4:00,203.2,21.844
1/12/06 16:00,25.4,1.524
1/13/06 4:00,0,0
1/13/06 16:00,0,0
1/14/06 4:00,0,0
1/14/06 16:00,0,0
1/15/06 4:00,76.2,7.62
1/15/06 16:00,203.2,9.906
1/16/06 4:00,177.8,7.62
1/16/06 16:00,0,0
1/17/06 4:00,0,0
1/17/06 16:00,0,0
1/18/06 4:00,63.5,7.62
1/18/06 16:00,241.3,14.224
1/19/06 4:00,50.8,3.302
1/19/06 16:00,101.6,4.572
1/20/06 4:00,88.9,2.54
1/20/06 16:00,25.4,1.016
1/21/06 4:00,0,0
1/21/06 16:00,88.9,2.54
1/22/06 4:00,0,0
1/22/06 16:00,0,0
1/23/06 4:00,0,0
1/23/06 16:00,0,0
1/24/06 4:00,0,0
1/24/06 16:00,0,0
1/25/06 4:00,0,0
1/25/06 16:00,0,0
1/26/06 4:00,50.8,3.81
1/26/06 16:00,0,0
1/27/06 4:00,50.8,2.286
1/27/06 16:00,177.8,8.382
1/28/06 4:00,76.2,3.556
1/28/06 16:00,50.8,3.81
1/29/06 4:00,203.2,25.4
1/29/06 16:00,38.1,1.27
1/30/06 4:00,0,0
1/30/06 16:00,0,0
1/31/06 4:00,127,16.002
1/31/06 16:00,76.2,6.858
2/1/06 4:00,0,0
2/1/06 16:00,177.8,27.94
2/2/06 4:00,127,16.002
2/2/06 16:00,101.6,10.16
2/3/06 4:00,76.2,6.096
2/3/06 16:00,12.7,1.016
2/4/06 4:00,0,0
2/4/06 16:00,0,0
2/5/06 4:00,177.8,13.462
2/5/06 16:00,101.6,4.064
2/6/06 4:00,25.4,0.762
2/6/06 16:00,0,0
2/7/06 4:00,0,0
2/7/06 16:00,0,0
2/8/06 4:00,0,0
2/8/06 16:00,0,0
2/9/06 4:00,0,0
2/9/06 16:00,0,0
2/10/06 4:00,0,0
2/10/06 16:00,0,0
2/11/06 4:00,0,0
2/11/06 16:00,0,0
2/12/06 4:00,0,0
2/12/06 16:00,0,0
2/13/06 4:00,0,0
2/13/06 16:00,0,0
2/14/06 4:00,0,0
2/14/06 16:00,0,0
2/15/06 4:00,0,0
2/15/06 16:00,127,7.366
2/16/06 4:00,101.6,10.414
2/16/06 16:00,50.8,3.81
2/17/06 4:00,0,0
2/17/06 16:00,12.7,1.27
2/18/06 4:00,0,0
2/18/06 16:00,101.6,5.08
2/19/06 4:00,127,6.604
2/19/06 16:00,101.6,4.572
2/20/06 4:00,0,0
2/20/06 16:00,12.7,1.016
2/21/06 4:00,0,0
2/21/06 16:00,0,0
2/22/06 4:00,50.8,2.286
2/22/06 16:00,50.8,2.286
2/23/06 4:00,0,0
2/23/06 16:00,0,0
2/24/06 4:00,0,0
2/24/06 16:00,0,0
2/25/06 4:00,0,0
2/25/06 16:00,0,0
2/26/06 4:00,0,0
2/26/06 16:00,0,0
2/27/06 4:00,0,0
2/27/06 16:00,0,0
2/28/06 4:00,12.7,2.286
2/28/06 16:00,88.9,22.606
3/1/06 4:00,101.6,16.51
3/1/06 16:00,0,0
3/2/06 4:00,0,0
3/2/06 16:00,0,0
3/3/06 4:00,0,0
3/3/06 16:00,0,0
3/4/06 4:00,127,7.112
3/4/06 16:00,50.8,2.54
3/5/06 4:00,0,0
3/5/06 16:00,0,0
3/6/06 4:00,0,0
3/6/06 16:00,0,0
3/7/06 4:00,127,7.62
3/7/06 16:00,127,7.62
3/8/06 4:00,76.2,3.81
3/8/06 16:00,76.2,3.81
3/9/06 4:00,76.2,3.81
3/9/06 16:00,292.1,16.002
3/10/06 4:00,0,0
3/10/06 16:00,0,0
3/11/06 4:00,0,0
3/11/06 16:00,25.4,2.54
3/12/06 4:00,63.5,4.826
3/12/06 16:00,88.9,5.08
3/13/06 4:00,50.8,2.54
3/13/06 16:00,101.6,4.826
3/14/06 4:00,0,0
3/14/06 16:00,0,0
3/15/06 4:00,50.8,3.048
3/15/06 16:00,368.3,18.288
3/16/06 4:00,0,0
3/16/06 16:00,0,0
3/17/06 4:00,25.4,1.778
3/17/06 16:00,38.1,3.048
3/18/06 4:00,177.8,12.192
3/18/06 16:00,63.5,5.334
3/19/06 4:00,127,7.62
3/19/06 16:00,165.1,9.398
3/20/06 4:00,12.7,0.762
3/20/06 16:00,12.7,0.762
3/21/06 4:00,228.6,10.414
3/21/06 16:00,152.4,7.366
3/22/06 4:00,25.4,1.27
3/22/06 16:00,25.4,1.27
3/23/06 4:00,0,0
3/23/06 16:00,0,0
3/24/06 4:00,0,0
3/24/06 16:00,0,0
3/25/06 4:00,0,0
3/25/06 16:00,0,0
3/26/06 4:00,177.8,13.97
3/26/06 16:00,152.4,8.89
3/27/06 4:00,0,0
3/27/06 16:00,0,0
3/28/06 4:00,0,0
3/28/06 16:00,165.1,15.494
3/29/06 4:00,254,28.194
3/29/06 16:00,152.4,14.732
3/30/06 4:00,177.8,15.24
3/30/06 16:00,0,0
3/31/06 4:00,0,0
3/31/06 16:00,0,0
4/1/06 4:00,152.4,14.478
4/1/06 16:00,114.3,9.398
4/2/06 4:00,76.2,5.334
4/2/06 16:00,0,0
4/3/06 4:00,0,0
4/3/06 16:00,0,0
4/4/06 4:00,0,0
4/4/06 16:00,25.4,2.032
4/5/06 4:00,0,0.508
4/5/06 16:00,76.2,11.684
4/6/06 4:00,114.3,13.716
4/6/06 16:00,355.6,40.386
4/7/06 4:00,177.8,24.13
4/7/06 16:00,0,0
4/8/06 4:00,0,0
4/8/06 16:00,0,0
4/9/06 4:00,0,0
4/9/06 16:00,0,0
4/10/06 4:00,0,0
4/10/06 16:00,0,0
4/11/06 4:00,76.2,7.62
4/11/06 16:00,38.1,3.048
4/12/06 4:00,0,0
4/12/06 16:00,0,0.508
4/13/06 4:00,0,0
4/13/06 16:00,0,0
4/14/06 4:00,0,0
4/14/06 16:00,12.7,1.524
4/15/06 4:00,127,17.018
4/15/06 16:00,101.6,12.446
4/16/06 4:00,0,0
4/16/06 16:00,0,0
4/17/06 4:00,0,0
4/17/06 16:00,215.9,13.716
4/18/06 4:00,152.4,10.668
4/18/06 16:00,127,7.874
4/19/06 4:00,0,0
4/19/06 16:00,0,0
4/20/06 4:00,0,0
4/20/06 16:00,0,0
4/21/06 4:00,0,0
4/21/06 16:00,0,0
4/22/06 4:00,0,0
4/22/06 16:00,0,0
4/23/06 4:00,0,0
4/23/06 16:00,0,0
4/24/06 4:00,0,0
4/24/06 16:00,76.2,8.89
4/25/06 4:00,25.4,1.27
4/25/06 16:00,0,0
4/26/06 4:00,0,0
4/26/06 16:00,0,0
4/27/06 4:00,0,0
4/27/06 16:00,0,0
10/17/06 4:00,114.3,18.542
10/17/06 16:00,0,0
10/18/06 4:00,114.3,10.668
10/18/06 16:00,0,0
10/19/06 4:00,0,0
10/19/06 16:00,0,0
10/20/06 4:00,12.7,2.286
10/20/06 16:00,0,0
10/21/06 4:00,12.7,1.27
10/21/06 16:00,0,0
10/22/06 4:00,0,0
10/22/06 16:00,0,0
10/23/06 4:00,0,0
10/23/06 16:00,0,0
10/24/06 4:00,0,0
10/24/06 16:00,0,0
10/25/06 4:00,0,0
10/25/06 16:00,0,0
10/26/06 4:00,355.6,34.29
10/26/06 16:00,0,0
10/27/06 4:00,0,0
10/27/06 16:00,0,0
10/28/06 4:00,0,0
10/28/06 16:00,0,0
10/29/06 4:00,0,0
10/29/06 16:00,0,0
10/30/06 4:00,0,0
10/30/06 16:00,0,0
10/31/06 4:00,0,0
10/31/06 16:00,0,0
11/1/06 4:00,0,0
11/1/06 16:00,0,0
11/2/06 4:00,0,0
11/2/06 16:00,0,0
11/3/06 4:00,0,0
11/3/06 16:00,0,0
11/4/06 4:00,0,0
11/4/06 16:00,63.5,6.35
11/5/06 4:00,12.7,1.27
11/5/06 16:00,0,0
11/6/06 4:00,0,0
11/6/06 16:00,0,0
11/7/06 4:00,0,0
11/7/06 16:00,0,0
11/8/06 4:00,0,0
11/8/06 16:00,0,0
11/9/06 4:00,0,0
11/9/06 16:00,88.9,11.43
11/10/06 4:00,139.7,11.176
11/10/06 16:00,0,0
11/11/06 4:00,0,0
11/11/06 16:00,50.8,4.064
11/12/06 4:00,203.2,14.224
11/12/06 16:00,0,0
11/13/06 4:00,0,0
11/13/06 16:00,101.6,14.478
11/14/06 4:00,101.6,13.97
11/14/06 16:00,190.5,19.812
11/15/06 4:00,0,0
11/15/06 16:00,0,0
11/16/06 4:00,0,0
11/16/06 16:00,0,0
11/17/06 4:00,0,0
11/17/06 16:00,0,0
11/18/06 4:00,0,0
11/18/06 16:00,0,0
11/19/06 4:00,0,0
11/19/06 16:00,0,0
11/20/06 4:00,0,0
11/20/06 16:00,0,0
11/21/06 4:00,0,0
11/21/06 16:00,0,0
11/22/06 4:00,0,0
11/22/06 16:00,0,0
11/23/06 4:00,0,0
11/23/06 16:00,0,0
11/24/06 4:00,0,0
11/24/06 16:00,0,0
11/25/06 4:00,0,0
11/25/06 16:00,0,0
11/26/06 4:00,0,0
11/26/06 16:00,0,0
11/27/06 4:00,0,0
11/27/06 16:00,304.8,16.764
11/28/06 4:00,190.5,13.716
11/28/06 16:00,127,7.112
11/29/06 4:00,101.6,7.62
11/29/06 16:00,25.4,2.032
11/30/06 4:00,0,0
11/30/06 16:00,0,0
12/1/06 4:00,25.4,2.54
12/1/06 16:00,50.8,5.08
12/2/06 4:00,0,0
12/2/06 16:00,25.4,1.016
12/3/06 4:00,0,0
12/3/06 16:00,0,0
12/4/06 4:00,0,0
12/4/06 16:00,0,0
12/5/06 4:00,0,0
12/5/06 16:00,0,0
12/6/06 4:00,0,0
12/6/06 16:00,0,0
12/7/06 4:00,0,0
12/7/06 16:00,0,0
12/8/06 4:00,0,0
12/8/06 16:00,0,0
12/9/06 4:00,0,0
12/9/06 16:00,0,0
12/10/06 4:00,0,0
12/10/06 16:00,38.1,2.54
12/11/06 4:00,203.2,12.954
12/11/06 16:00,63.5,6.35
12/12/06 4:00,0,0
12/12/06 16:00,50.8,5.588
12/13/06 4:00,12.7,1.524
12/13/06 16:00,25.4,2.54
12/14/06 4:00,50.8,8.636
12/14/06 16:00,12.7,2.032
12/15/06 4:00,0,0
12/15/06 16:00,0,0
12/16/06 4:00,152.4,7.62
12/16/06 16:00,101.6,5.08
12/17/06 4:00,76.2,4.572
12/17/06 16:00,139.7,8.382
12/18/06 4:00,12.7,0.508
12/18/06 16:00,0,0
12/19/06 4:00,0,0
12/19/06 16:00,0,0
12/20/06 4:00,0,0
12/20/06 16:00,0,0
12/21/06 4:00,0,0
12/21/06 16:00,0,0
12/22/06 4:00,0,0
12/22/06 16:00,38.1,3.048
12/23/06 4:00,0,0
12/23/06 16:00,0,0
12/24/06 4:00,25.4,1.524
12/24/06 16:00,38.1,3.302
12/25/06 4:00,0,0
12/25/06 16:00,0,0
12/26/06 4:00,0,0
12/26/06 16:00,0,0
12/27/06 4:00,25.4,2.032
